Combo,Inject,Mode,Meta,MSE_mean,RMSE_mean,MAE_mean,R2_mean,r_mean,p_mean,r_overall,p_overall
Gender,clip,hybrid_meta_clip,Gender,108.50423431396484,10.362886428833008,7.979146480560303,0.4649261522526003,0.7134762624378875,3.351766670365808e-18,0.6958578661428441,3.913935413827938e-100
Duration (log),clip,hybrid_meta_clip,Duration,110.86917877197266,10.44611930847168,7.930525302886963,0.4587303369440993,0.7221033231420244,1.7577871452360525e-18,0.6914137944004156,2.264928712984651e-98
Item,clip,hybrid_meta_clip,Item,118.9416961669922,10.729655265808104,8.162481307983398,0.4290657986405327,0.716513891707151,6.291618172251972e-19,0.6672370433097021,2.564152560837439e-89
Gender + Duration (log),clip,hybrid_meta_clip,"Gender,Duration",101.6877899169922,10.033015251159668,7.767130374908447,0.4963643797819649,0.7249327963188288,2.969810670845366e-20,0.7221698063910023,2.8599891061503073e-111
Gender + Item + Duration (log),clip,hybrid_meta_clip,"Gender,Item,Duration",102.1671371459961,10.05283546447754,7.714896202087402,0.4933848025915593,0.7209169542879911,1.1333813022994396e-16,0.7147056563273056,5.543326137030043e-108
