Method,MSE_mean,RMSE_mean,MAE_mean,R2_mean,r_mean,p_mean,r_overall,p_overall
Early Fusion,132.04269409179688,11.354429244995115,8.902322769165039,0.34477828471116,0.627306537828539,8.112747884475081e-05,0.608371756370293,1.7678961874177418e-70
Late Fusion,370.44775390625,19.21444320678711,15.702160835266112,-0.851896821309101,0.3568229200314332,0.0002717915430416,0.3548717986937371,9.933426647566109e-22
Hybrid Fusion,138.0083770751953,11.644028663635254,9.180035591125488,0.3111340130663892,0.5927867903221358,0.0040628083199293,0.5845052337044107,6.478651016511033e-64
