Method,MSE_mean,RMSE_mean,MAE_mean,R2_mean,r_mean,p_mean,r_overall,p_overall
No Metadata（Baseline）,122.9396743774414,10.985719680786133,8.758657455444336,0.3781605043216489,0.6077206685756308,0.0025975491782555,0.6390739135731582,8.632869665181038e-80
Clip-level injection,114.19122314453124,10.574369430541992,8.064262390136719,0.4456862838300141,0.7228397135542934,6.8179858008750995e-19,0.6832249768452786,3.312448726563165e-95
Turn-level injection,128.00672912597656,11.206709861755373,8.733404159545898,0.3596080139622432,0.619430334701484,0.0002589296673409,0.6208391032845264,3.899766581077844e-74
